Pagina,Palabras,Menciones_Censuradas_REDACTED,Evasiones_Detectadas,Tipos_Evasion,Indicador_Positivo,Indicador_Negativo,Indice_Sentimiento,Clasificacion_Sentimiento,Hits_Propiedades,Hits_Aviones_Logistica,Hits_Abuso_Menores,Hits_Ambito_Legal,Tema_Dominante,Años_Mencionados,Personas_Presentes,Personas_Count,Fuente
1,200,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,2023; 2024,Virginia Giuffre,1,TXT Consolidado
2,35,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2024,,0,TXT Consolidado
3,145,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2023; 2024,,0,TXT Consolidado
4,182,1,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,Ghislaine Maxwell,1,TXT Consolidado
5,170,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,Jeffrey Epstein; Ghislaine Maxwell; Johanna Sjoberg,3,TXT Consolidado
6,18,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
7,100,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,1997; 2001; 2013; 2014,,0,TXT Consolidado
8,371,0,0,,3,4,-0.143,Negativo,0,0,2,2,Abuso / Menores,,Virginia Giuffre,1,TXT Consolidado
9,612,0,1,Fifth Amendment,0,0,0.0,Neutral,0,0,0,15,Ámbito Legal,2016,,0,TXT Consolidado
10,355,0,0,,0,3,-1.0,Altamente Negativo,0,2,6,6,Abuso / Menores,2016,Jeffrey Epstein; Ghislaine Maxwell; Johanna Sjoberg,3,TXT Consolidado
11,341,0,1,Fifth Amendment,0,1,-1.0,Altamente Negativo,0,0,0,6,Ámbito Legal,,Ghislaine Maxwell,1,TXT Consolidado
12,306,0,0,,0,0,0.0,Neutral,2,0,1,3,Ámbito Legal,2011,Prince Andrew; Johanna Sjoberg,2,TXT Consolidado
13,341,0,0,,0,1,-1.0,Altamente Negativo,2,0,0,0,Propiedades,,Ghislaine Maxwell; Prince Andrew; Johanna Sjoberg,3,TXT Consolidado
14,312,0,0,,0,2,-1.0,Altamente Negativo,1,0,4,0,Abuso / Menores,,,0,TXT Consolidado
15,335,0,0,,0,2,-1.0,Altamente Negativo,0,0,3,0,Abuso / Menores,,Prince Andrew,1,TXT Consolidado
