Pagina,Patron_Censura,Texto_Detectado,Contexto_60chars,Personas_en_Pagina
4,\bREDACTED\b,REDACTED,Defendant. ________________________________ PLAINTIFFS NON-REDACTED MOTION TO EXCEED PRESUMPTIVE TEN DEPOSITION LIMIT IN FEDERA,Ghislaine Maxwell
32,\bREDACTED\b,REDACTED,"aine Maxwell, Defendant. ______________________________ NON-REDACTED DECLARATION OF SIGRID S. McCAWLEY IN SUPPORT OF PLAINTIFFS",Ghislaine Maxwell
257,"X{3,}",XXXX,Time Seconds InOut ToFrom 7-Mar-06 11:03 AM 492 Outbound 561XXXX 7-Mar-06 11: 16 AM 6 Inbound 561XXXX 7-Mar-06 11:22 AM 887.,
257,"X{3,}",XXXX,:03 AM 492 Outbound 561XXXX 7-Mar-06 11: 16 AM 6 Inbound 561XXXX 7-Mar-06 11:22 AM 887.2 Inbound 561XXXX 7-Mar-06 11 : 37 AM,
257,"X{3,}",XXXX,16 AM 6 Inbound 561XXXX 7-Mar-06 11:22 AM 887.2 Inbound 561XXXX 7-Mar-06 11 : 37 AM 48 Outbound 9178553363 7-Mar -06 11:39,
283,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ging pursuant to Local Civil Rule 26.2c. Correspondence re: Jane Doe #1 and Jane Doe #2 v. United States CVRA case, Case no. 08-",Virginia Giuffre
283,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Local Civil Rule 26.2c. Correspondence re: Jane Doe #1 and Jane Doe #2 v. United States CVRA case, Case no. 08-80736-CIV-Marra,",Virginia Giuffre
286,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"gging pursuant to Local Civil Rule 26.2c. Correspondence re:Jane Doe No. 102 v. Jeffrey Epstein Epstein case, Case No. 09-80656-",Jeffrey Epstein; Virginia Giuffre
322,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"......................................................14,23 Jane Doe 1 v. United States, No. 9:08-cv-80736 S.D. Fla. July 7, 200",
326,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Victims Rights Act CVRA, 18 U.S.C. 3771. Filed on behalf of Jane Doe 1 and later Jane Doe 2 the CVRA action alleged that federal",Jeffrey Epstein
326,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"RA, 18 U.S.C. 3771. Filed on behalf of Jane Doe 1 and later Jane Doe 2 the CVRA action alleged that federal government had faile",Jeffrey Epstein
326,\b[jJ]ane\s+[dD]oe\b,Jane Doe,that federal government had failed to protect the rights of Jane Doe 1 and other similarly situated victims of sex offenses comm,Jeffrey Epstein
326,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"id McCawley McCawley Decl. at Exhibit 1, Complaint filed in Jane Doe 1 v. United States, No. 9:08-cv-80736 S.D. Fla. July 7, 200",Jeffrey Epstein
327,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"for Joinder in the Action on behalf two additional victims: Jane Doe 3 and Jane Doe 4. Jane Doe 3, Virginia Giuffre, subsequentl",Ghislaine Maxwell; Virginia Giuffre; Alan Dershowitz
327,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"the Action on behalf two additional victims: Jane Doe 3 and Jane Doe 4. Jane Doe 3, Virginia Giuffre, subsequently decided to re",Ghislaine Maxwell; Virginia Giuffre; Alan Dershowitz
327,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"n behalf two additional victims: Jane Doe 3 and Jane Doe 4. Jane Doe 3, Virginia Giuffre, subsequently decided to reveal her nam",Ghislaine Maxwell; Virginia Giuffre; Alan Dershowitz
327,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"t they had suffered sexual abuse from Epstein. For example, Jane Doe 3 alleged that she had been forced by Epstein to have sexua",Ghislaine Maxwell; Virginia Giuffre; Alan Dershowitz
327,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"it secret from the victims. McCawley Decl., Exhibit 2 at 4. Jane Doe 3 also alleged that Defendant i.e., Ghislaine Maxwell had p",Ghislaine Maxwell; Virginia Giuffre; Alan Dershowitz
