Año,Pagina,Frecuencia_Año_En_Pagina,Personas_Mencionadas,Tema_Dominante_Pagina
1990,323,1,,
1990,346,1,,Ámbito Legal
1990,2406,1,,
1990,2427,1,,
1990,2840,2,,
1990,2844,1,,Ámbito Legal
1990,2855,1,,Ámbito Legal
1990,3161,1,,Ámbito Legal
1991,251,1,Jeffrey Epstein,Abuso / Menores
1991,1336,1,Jeffrey Epstein,Abuso / Menores
1991,1681,3,,Abuso / Menores
1991,2326,1,,
1991,2533,2,,Ámbito Legal
1991,2537,2,Ghislaine Maxwell,Ámbito Legal
1991,2832,1,,Ámbito Legal
1991,2918,1,,Ámbito Legal
1991,3646,3,,Abuso / Menores
1991,3839,1,,
1991,4332,3,,Abuso / Menores
1991,4381,1,Jeffrey Epstein,
1992,323,1,,
1992,354,1,Jeffrey Epstein,Ámbito Legal
1992,505,1,Jeffrey Epstein,Ámbito Legal
1992,907,1,Prince Andrew,Abuso / Menores
1992,909,1,Jeffrey Epstein; Ghislaine Maxwell,Abuso / Menores
1992,1106,1,Jeffrey Epstein,
1992,1107,1,Jeffrey Epstein,
1992,1132,1,Prince Andrew; Alan Dershowitz,Abuso / Menores
1992,1671,1,Jeffrey Epstein,Ámbito Legal
1992,1680,2,,Abuso / Menores
1992,1681,2,,Abuso / Menores
1992,2326,1,,
1992,2491,1,,
1992,2513,1,,Ámbito Legal
1992,2531,1,,
1992,2533,1,,Ámbito Legal
1992,2535,1,,Ámbito Legal
1992,3196,1,,
1992,3555,2,,
1992,3556,2,,
1992,3557,1,,
1992,3566,1,Jeffrey Epstein,Abuso / Menores
1992,3641,2,,Abuso / Menores
1992,3646,2,,Abuso / Menores
1992,3955,1,Jeffrey Epstein,Logística / Aviones
1992,4310,5,,
1992,4312,1,Jeffrey Epstein,Ámbito Legal
1992,4331,2,,Abuso / Menores
1992,4332,2,,Abuso / Menores
1992,4410,1,Jeffrey Epstein,Ámbito Legal
1993,385,2,,Ámbito Legal
1993,1551,2,,
1993,1745,1,,Propiedades
1993,1931,2,,
1993,1950,2,,
1993,1959,1,Jeffrey Epstein,Propiedades
1993,2187,1,Jeffrey Epstein; Ghislaine Maxwell,Ámbito Legal
1993,2263,1,,
1993,2277,1,,
1993,2371,2,,
1993,2407,1,,
1993,2424,1,,Ámbito Legal
1993,2489,2,,
1993,2513,2,,Ámbito Legal
1993,2531,2,,
1993,2535,2,,Ámbito Legal
1993,2701,1,Jeffrey Epstein,Ámbito Legal
1993,3110,1,,Ámbito Legal
1993,3194,2,,
1993,3444,1,,
1993,3457,1,,Ámbito Legal
1993,3517,1,,
1993,3530,1,,Ámbito Legal
1994,228,1,,Propiedades
1994,321,1,,
1994,323,3,,
1994,334,1,,
1994,337,2,,
1994,353,1,,Ámbito Legal
1994,1313,1,,Propiedades
1994,1647,1,,Ámbito Legal
1994,1648,1,Johanna Sjoberg,Ámbito Legal
1994,1809,1,,
1994,1954,1,,Abuso / Menores
1994,1959,1,Jeffrey Epstein,Propiedades
1994,1960,1,,Propiedades
1994,2043,1,Jeffrey Epstein,Ámbito Legal
